DATE,DEUPROINDMISMEI
1975-07-01,49.1271642655173
1975-08-01,51.0404080999784
1975-09-01,50.9786905569312
1975-10-01,51.9661712456853
1975-11-01,52.7067817622509
1975-12-01,52.6450642192038
1976-01-01,53.3239571927223
1976-02-01,54.3731554245235
1976-03-01,54.3114378814764
1976-04-01,54.620025596712
1976-05-01,54.9286133119477
1976-06-01,55.545788742419
1976-07-01,53.5091098218637
1976-08-01,55.2372010271834
1976-09-01,55.7926589146075
1976-10-01,55.7926589146075
1976-11-01,55.8543764576547
1976-12-01,55.9160940007018
1977-01-01,56.2246817159375
1977-02-01,56.0395290867961
1977-03-01,56.6567045172674
1977-04-01,56.0395290867961
1977-05-01,55.545788742419
1977-06-01,56.5332694311731
1977-07-01,54.126285252335
1977-08-01,56.471551888126
1977-09-01,56.5949869742203
1977-10-01,56.3481168020317
1977-11-01,56.4098343450789
1977-12-01,57.5207501199273
1978-01-01,57.7059027490686
1978-02-01,56.0395290867961
1978-03-01,54.8668957689006
1978-04-01,55.9778115437489
1978-05-01,55.9160940007018
1978-06-01,55.6075062854662
1978-07-01,57.0887273185973
1978-08-01,57.6441852060215
1978-09-01,58.5699483517285
1978-10-01,57.5824676629744
1978-11-01,58.0144904643043
1978-12-01,59.8660167557183
1979-01-01,58.2613606364928
1979-02-01,58.0762080073514
1979-03-01,58.32307817954
1979-04-01,59.6808641265769
1979-05-01,59.5574290404826
1979-06-01,60.7300623583781
1979-07-01,61.0386500736138
1979-08-01,60.1746044709539
1979-09-01,60.2980395570482
1979-10-01,59.6191465835298
1979-11-01,61.162085159708
1979-12-01,62.087848305415
1980-01-01,61.7175430471322
1980-02-01,61.6558255040851
1980-03-01,61.1003676166609
1980-04-01,60.4831921861896
1980-05-01,60.4214746431425
1980-06-01,59.8660167557183
1980-07-01,60.1746044709539
1980-08-01,60.2980395570482
1980-09-01,58.1996430934457
1980-10-01,58.5082308086814
1980-11-01,59.4957114974355
1980-12-01,58.6316658947756
1981-01-01,58.3847957225871
1981-02-01,59.4957114974355
1981-03-01,59.248841325247
1981-04-01,58.6933834378228
1981-05-01,59.0636886961056
1981-06-01,58.3847957225871
1981-07-01,58.8785360669642
1981-08-01,58.9402536100113
1981-09-01,59.1254062391527
1981-10-01,59.4339939543883
1981-11-01,58.9402536100113
1981-12-01,58.4465132656342
1982-01-01,58.6933834378228
1982-02-01,58.2613606364928
1982-03-01,58.816818523917
1982-04-01,58.6933834378228
1982-05-01,58.6933834378228
1982-06-01,57.2738799477387
1982-07-01,55.3606361132776
1982-08-01,56.5332694311731
1982-09-01,56.2863992589846
1982-10-01,55.6692238285133
1982-11-01,54.9903308549948
1982-12-01,55.2372010271834
1983-01-01,56.1012466298432
1983-02-01,55.6075062854662
1983-03-01,56.5949869742203
1983-04-01,57.1504448616444
1983-05-01,56.7801396033617
1983-06-01,58.6933834378228
1983-07-01,56.0395290867961
1983-08-01,56.5949869742203
1983-09-01,58.0762080073514
1983-10-01,57.89105537821
1983-11-01,58.6316658947756
1983-12-01,59.8042992126711
1984-01-01,59.0636886961056
1984-02-01,59.6191465835298
1984-03-01,58.6933834378228
1984-04-01,58.2613606364928
1984-05-01,58.6933834378228
1984-06-01,53.1388045635809
1984-07-01,59.6808641265769
1984-08-01,59.0636886961056
1984-09-01,60.2980395570482
1984-10-01,60.0511693848597
1984-11-01,60.5449097292367
1984-12-01,60.9152149875195
1985-01-01,60.9152149875195
1985-02-01,60.9769325305667
1985-03-01,61.5323904179908
1985-04-01,60.8534974444724
1985-05-01,61.594107961038
1985-06-01,62.3347184776036
1985-07-01,62.9518939080749
1985-08-01,61.3472377888494
1985-09-01,62.087848305415
1985-10-01,62.8284588219806
1985-11-01,64.0010921398761
1985-12-01,61.594107961038
1986-01-01,62.8284588219806
1986-02-01,63.0753289941692
1986-03-01,63.1987640802634
1986-04-01,63.5073517954991
1986-05-01,62.8901763650278
1986-06-01,63.1987640802634
1986-07-01,64.1245272259704
1986-08-01,63.013611451122
1986-09-01,62.6433061928392
1986-10-01,62.8284588219806
1986-11-01,63.5073517954991
1986-12-01,62.7050237358864
1987-01-01,61.7175430471322
1987-02-01,62.9518939080749
1987-03-01,62.5815886497921
1987-04-01,63.445634252452
1987-05-01,64.3713973981589
1987-06-01,63.1987640802634
1987-07-01,62.4581535636978
1987-08-01,63.8159395107347
1987-09-01,63.013611451122
1987-10-01,64.0010921398761
1987-11-01,64.3713973981589
1987-12-01,64.433114941206
1988-01-01,64.1245272259704
1988-02-01,64.6182675703474
1988-03-01,64.3096798551118
1988-04-01,64.7417026564417
1988-05-01,64.7417026564417
1988-06-01,65.9143359743372
1988-07-01,64.3713973981589
1988-08-01,67.0252517491856
1988-09-01,66.2229236895729
1988-10-01,66.4697938617614
1988-11-01,66.7783815769971
1988-12-01,68.2596026101283
1989-01-01,67.2721219213742
1989-02-01,67.0252517491856
1989-03-01,67.5189920935627
1989-04-01,69.555671014118
1989-05-01,66.2229236895729
1989-06-01,68.8767780405996
1989-07-01,69.2470832988824
1989-08-01,69.061930669741
1989-09-01,69.4322359280238
1989-10-01,69.6173885571652
1989-11-01,69.9259762724008
1989-12-01,71.0986095902963
1990-01-01,70.9751745042021
1990-02-01,70.6665867889664
1990-03-01,71.3454797624849
1990-04-01,70.1111289015422
1990-05-01,71.900937649909
1990-06-01,71.900937649909
1990-07-01,72.5798306234275
1990-08-01,73.0118534247574
1990-09-01,73.6907463982759
1990-10-01,73.8141814843702
1990-11-01,73.8141814843702
1990-12-01,74.1227691996058
1991-01-01,76.3936338638447
1991-02-01,75.4937088575952
1991-03-01,74.9937505207899
1991-04-01,74.3938005166236
1991-05-01,73.193900508291
1991-06-01,76.3936338638447
1991-07-01,74.1938171819015
1991-08-01,72.9939171735689
1991-09-01,72.7939338388468
1991-10-01,73.8938421798184
1991-11-01,74.6937755187068
1991-12-01,74.7937671860678
1992-01-01,75.6936921923173
1992-02-01,76.993583868011
1992-03-01,74.7937671860678
1992-04-01,74.6937755187068
1992-05-01,74.1938171819015
1992-06-01,72.9939171735689
1992-07-01,71.6940254978752
1992-08-01,71.8940088325973
1992-09-01,71.294058828431
1992-10-01,71.1940671610699
1992-11-01,70.0941588200983
1992-12-01,68.8942588117657
1993-01-01,68.0943254728772
1993-02-01,67.0944087992667
1993-03-01,67.1944004666278
1993-04-01,66.6944421298225
1993-05-01,66.6944421298225
1993-06-01,66.1944837930172
1993-07-01,64.6946087826014
1993-08-01,67.494375468711
1993-09-01,67.1944004666278
1993-10-01,67.1944004666278
1993-11-01,66.5944504624614
1993-12-01,67.3943838013499
1994-01-01,67.0944087992667
1994-02-01,68.0943254728772
1994-03-01,67.7943504707941
1994-04-01,68.5942838096825
1994-05-01,68.2943088075994
1994-06-01,68.7942671444046
1994-07-01,68.4942921423215
1994-08-01,68.4942921423215
1994-09-01,69.494208815932
1994-10-01,70.7941004916257
1994-11-01,71.1940671610699
1994-12-01,71.1940671610699
1995-01-01,69.7941838180152
1995-02-01,70.7941004916257
1995-03-01,69.9941671527373
1995-04-01,70.3941338221815
1995-05-01,70.7941004916257
1995-06-01,69.9941671527373
1995-07-01,69.7941838180152
1995-08-01,68.9942504791267
1995-09-01,70.3941338221815
1995-10-01,68.5942838096825
1995-11-01,68.9942504791267
1995-12-01,68.9942504791267
1996-01-01,69.2942254812099
1996-02-01,68.6942754770436
1996-03-01,68.7942671444046
1996-04-01,68.7942671444046
1996-05-01,69.394217148571
1996-06-01,69.7941838180152
1996-07-01,68.9942504791267
1996-08-01,69.8941754853762
1996-09-01,70.4941254895425
1996-10-01,69.494208815932
1996-11-01,70.4941254895425
1996-12-01,70.4941254895425
1997-01-01,69.594200483293
1997-02-01,70.5941171569036
1997-03-01,71.394050495792
1997-04-01,71.0940754937088
1997-05-01,70.1941504874594
1997-06-01,72.9939171735689
1997-07-01,73.7938505124573
1997-08-01,71.394050495792
1997-09-01,71.9940004999583
1997-10-01,72.9939171735689
1997-11-01,73.3938838430131
1997-12-01,74.0938255145404
1998-01-01,74.8937588534289
1998-02-01,74.6937755187068
1998-03-01,75.6936921923173
1998-04-01,74.9937505207899
1998-05-01,75.3937171902342
1998-06-01,74.7937671860678
1998-07-01,76.3936338638447
1998-08-01,74.6937755187068
1998-09-01,74.1938171819015
1998-10-01,74.6937755187068
1998-11-01,73.6938588450962
1998-12-01,73.9938338471794
1999-01-01,75.193733855512
1999-02-01,73.7938505124573
1999-03-01,74.2938088492626
1999-04-01,74.7937671860678
1999-05-01,75.2937255228731
1999-06-01,75.2937255228731
1999-07-01,75.8936755270394
1999-08-01,76.5936171985668
1999-09-01,76.2936421964836
